    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell      iu      iv       t
      LD       0       1       1      28      63      -1      -1      -1      -1
      LD       0       1       1      29      64      38       3       9       0
      LD       0       1       1      30      65      27       2       8       0
      LD       0       1       1      31      66      28       2       9       0
      LD       0       1       1      32      67      18       1       8       0
      LD       0       1       1      33      68      39       3      10       0
      LD       0       1       1      34      69      64       5      11       0
      LD       0       1       1      35      70      50       4      10       0
      LD       0       1       1      36      71      51       4      11       0
      LD       0       2       0       0       0      99       8       3       0
      LD       0       2       0       1       1      98       8       2       0
      LD       0       2       0       2       2     115       9       4       0
      LD       0       2       0       3       3     114       9       3       0
      LD       0       2       0       4       4      96       8       0       0
      LD       0       2       0       5       5      97       8       1       0
      LD       0       2       0       6       6     113       9       2       0
      LD       0       2       0       7       7     112       9       1       0
      LD       0       2       0       8       8      -1      -1      -1      -1
      LD       0       2       0       9       9     127      10       2       0
      LD       0       2       0      10      10     128      10       3       0
      LD       0       2       0      11      11     141      11       3       0
      LD       0       2       0      12      12     142      11       4       0
      LD       0       2       0      13      13     130      10       5       0
      LD       0       2       0      14      14     145      11       6       0
      LD       0       2       0      15      15     144      11       5       0
      LD       0       2       0      16      16     129      10       4       0
      LD       0       2       0      17      17      -1      -1      -1      -1
      LD       0       2       0      18  CALIB0     143      11       4       1
      LD       0       2       0      19      18      -1      -1      -1      -1
      LD       0       2       0      20      19     157      12       5       0
      LD       0       2       0      21      20     156      12       4       0
      LD       0       2       0      22      21     169      13       5       0
      LD       0       2       0      23      22     170      13       6       0
      LD       0       2       0      24      23     180      14       6       0
      LD       0       2       0      25      24     190      15       7       0
      LD       0       2       0      26      25     181      14       7       0
      LD       0       2       0      27      26     191      15       8       0
      LD       0       2       0      28      27      -1      -1      -1      -1
      LD       0       2       0      29      28     171      13       7       0
      LD       0       2       0      30      29     172      13       8       0
      LD       0       2       0      31      30     158      12       6       0
      LD       0       2       0      32      31     159      12       7       0
      LD       0       2       0      33      32     192      15       9       0
      LD       0       2       0      34      33     193      15      10       0
      LD       0       2       0      35      34     182      14       8       0
      LD       0       2       0      36      35     183      14       9       0
      LD       0       2       1       0      36     100       8       4       0
      LD       0       2       1       1      37     101       8       5       0
      LD       0       2       1       2      38     116       9       5       0
      LD       0       2       1       3      39     117       9       6       0
      LD       0       2       1       4      40     146      11       7       0
      LD       0       2       1       5      41     132      10       7       0
      LD       0       2       1       6      42     147      11       8       0
      LD       0       2       1       7      43     131      10       6       0
      LD       0       2       1       8      44      -1      -1      -1      -1
      LD       0       2       1       9      45     102       8       6       0
      LD       0       2       1      10      46     103       8       7       0
      LD       0       2       1      11      47     119       9       8       0
      LD       0       2       1      12      48     118       9       7       0
      LD       0       2       1      13      49     148      11       9       0
      LD       0       2       1      14      50     134      10       9       0
      LD       0       2       1      15      51     133      10       8       0
      LD       0       2       1      16      52     149      11      10       0
      LD       0       2       1      17      53      -1      -1      -1      -1
      LD       0       2       1      18  CALIB1     163      12      10       1
      LD       0       2       1      19      54      -1      -1      -1      -1
      LD       0       2       1      20      55     162      12      10       0
      LD       0       2       1      21      56     164      12      11       0
      LD       0       2       1      22      57     175      13      11       0
      LD       0       2       1      23      58     176      13      12       0
      LD       0       2       1      24      59     160      12       8       0
      LD       0       2       1      25      60     173      13       9       0
      LD       0       2       1      26      61     161      12       9       0
      LD       0       2       1      27      62     174      13      10       0
      LD       0       2       1      28      63      -1      -1      -1      -1
      LD       0       2       1      29      64     186      14      12       0
      LD       0       2       1      30      65     187      14      13       0
      LD       0       2       1      31      66     196      15      13       0
      LD       0       2       1      32      67     197      15      14       0
      LD       0       2       1      33      68     195      15      12       0
      LD       0       2       1      34      69     184      14      10       0
      LD       0       2       1      35      70     185      14      11       0
      LD       0       2       1      36      71     194      15      11       0
      HD       0       0       0       0       0      76       5       3       0
      HD       0       0       0       1       1      60       4       3       0
      HD       0       0       0       2       2      78       5       5       0
      HD       0       0       0       3       3      77       5       4       0
      HD       0       0       0       4       4      46       3       4       0
      HD       0       0       0       5       5      62       4       5       0
      HD       0       0       0       6       6      47       3       5       0
      HD       0       0       0       7       7      45       3       3       0
      HD       0       0       0       8       8      61       4       4       0
      HD       0       0       0       9       9      18       1       5       0
      HD       0       0       0      10      10      31       2       4       0
      HD       0       0       0      11      11      32       2       5       0
      HD       0       0       0      12      12       6       0       5       0
      HD       0       0       0      13      13      16       1       3       0
      HD       0       0       0      14      14      29       2       3       0
      HD       0       0       0      15      15      17       1       4       0
      HD       0       0       0      16      16       5       0       4       0
      HD       0       0       0      17      17       4       0       3       0
      HD       0       0       0      18  CALIB0      30       2       3       1
      HD       0       0       0      19      18       3       0       2       0
      HD       0       0       0      20      19       2       0       1       0
      HD       0       0       0      21      20       1       0       0       0
      HD       0       0       0      22      21      15       1       2       0
      HD       0       0       0      23      22      14       1       1       0
      HD       0       0       0      24      23      27       2       1       0
      HD       0       0       0      25      24      13       1       0       0
      HD       0       0       0      26      25      28       2       2       0
      HD       0       0       0      27      26      26       2       0       0
      HD       0       0       0      28      27      73       5       0       0
      HD       0       0       0      29      28      59       4       2       0
      HD       0       0       0      30      29      44       3       2       0
      HD       0       0       0      31      30      43       3       1       0
      HD       0       0       0      32      31      75       5       2       0
      HD       0       0       0      33      32      58       4       1       0
      HD       0       0       0      34      33      74       5       1       0
      HD       0       0       0      35      34      42       3       0       0
      HD       0       0       0      36      35      57       4       0       0
      HD       0       0       1       0      36      95       6       4       0
      HD       0       0       1       1      37     114       7       5       0
      HD       0       0       1       2      38      96       6       5       0
      HD       0       0       1       3      39      94       6       3       0
      HD       0       0       1       4      40     113       7       4       0
      HD       0       0       1       5      41     112       7       3       0
      HD       0       0       1       6      42     132       8       4       0
      HD       0       0       1       7      43     131       8       3       0
      HD       0       0       1       8      44     133       8       5       0
      HD       0       0       1       9      45     175      10       4       0
      HD       0       0       1      10      46     154       9       5       0
      HD       0       0       1      11      47     153       9       4       0
      HD       0       0       1      12      48     176      10       5       0
      HD       0       0       1      13      49     152       9       3       0
      HD       0       0       1      14      50     198      11       5       0
      HD       0       0       1      15      51     197      11       4       0
      HD       0       0       1      16      52     174      10       3       0
      HD       0       0       1      17      53     196      11       3       0
      HD       0       0       1      18  CALIB1     151       9       2       1
      HD       0       0       1      19      54     194      11       1       0
      HD       0       0       1      20      55     171      10       0       0
      HD       0       0       1      21      56     195      11       2       0
      HD       0       0       1      22      57     193      11       0       0
      HD       0       0       1      23      58     173      10       2       0
      HD       0       0       1      24      59     172      10       1       0
      HD       0       0       1      25      60     150       9       2       0
      HD       0       0       1      26      61     149       9       1       0
      HD       0       0       1      27      62     148       9       0       0
      HD       0       0       1      28      63     109       7       0       0
      HD       0       0       1      29      64     130       8       2       0
      HD       0       0       1      30      65     111       7       2       0
      HD       0       0       1      31      66     110       7       1       0
      HD       0       0       1      32      67      92       6       1       0
      HD       0       0       1      33      68      93       6       2       0
      HD       0       0       1      34      69      91       6       0       0
      HD       0       0       1      35      70     129       8       1       0
      HD       0       0       1      36      71     128       8       0       0
      HD       0       1       0       0       0     117       7       8       0
      HD       0       1       0       1       1     136       8       8       0
      HD       0       1       0       2       2      99       6       8       0
      HD       0       1       0       3       3      98       6       7       0
      HD       0       1       0       4       4     116       7       7       0
      HD       0       1       0       5       5      97       6       6       0
      HD       0       1       0       6       6     134       8       6       0
      HD       0       1       0       7       7     135       8       7       0
      HD       0       1       0       8       8     115       7       6       0
      HD       0       1       0       9       9     177      10       6       0
      HD       0       1       0      10      10     156       9       7       0
      HD       0       1       0      11      11     155       9       6       0
      HD       0       1       0      12      12     199      11       6       0
      HD       0       1       0      13      13     157       9       8       0
      HD       0       1       0      14      14     178      10       7       0
      HD       0       1       0      15      15     200      11       7       0
      HD       0       1       0      16      16     179      10       8       0
      HD       0       1       0      17      17     201      11       8       0
      HD       0       1       0      18  CALIB0     158       9       8       1
      HD       0       1       0      19      18     202      11       9       0
      HD       0       1       0      20      19     159       9       9       0
      HD       0       1       0      21      20     203      11      10       0
      HD       0       1       0      22      21     180      10       9       0
      HD       0       1       0      23      22     204      11      11       0
      HD       0       1       0      24      23     182      10      11       0
      HD       0       1       0      25      24     181      10      10       0
      HD       0       1       0      26      25     160       9      10       0
      HD       0       1       0      27      26     161       9      11       0
      HD       0       1       0      28      27     119       7      10       0
      HD       0       1       0      29      28     139       8      11       0
      HD       0       1       0      30      29     137       8       9       0
      HD       0       1       0      31      30     138       8      10       0
      HD       0       1       0      32      31     100       6       9       0
      HD       0       1       0      33      32     101       6      10       0
      HD       0       1       0      34      33     118       7       9       0
      HD       0       1       0      35      34     120       7      11       0
      HD       0       1       0      36      35     102       6      11       0
      HD       0       1       1       0      36      63       4       6       0
      HD       0       1       1       1      37      48       3       6       0
      HD       0       1       1       2      38      50       3       8       0
      HD       0       1       1       3      39      79       5       6       0
      HD       0       1       1       4      40      80       5       7       0
      HD       0       1       1       5      41      81       5       8       0
      HD       0       1       1       6      42      49       3       7       0
      HD       0       1       1       7      43      65       4       8       0
      HD       0       1       1       8      44      64       4       7       0
      HD       0       1       1       9      45      19       1       6       0
      HD       0       1       1      10      46      33       2       6       0
      HD       0       1       1      11      47      34       2       7       0
      HD       0       1       1      12      48       7       0       6       0
      HD       0       1       1      13      49       8       0       7       0
      HD       0       1       1      14      50      20       1       7       0
      HD       0       1       1      15      51      35       2       8       0
      HD       0       1       1      16      52      21       1       8       0
      HD       0       1       1      17      53       9       0       8       0
      HD       0       1       1      18  CALIB1      37       2       9       1
      HD       0       1       1      19      54      36       2       9       0
      HD       0       1       1      20      55      11       0      10       0
      HD       0       1       1      21      56      22       1       9       0
      HD       0       1       1      22      57      10       0       9       0
      HD       0       1       1      23      58      23       1      10       0
      HD       0       1       1      24      59      24       1      11       0
      HD       0       1       1      25      60      38       2      10       0
      HD       0       1       1      26      61      39       2      11       0
      HD       0       1       1      27      62      12       0      11       0
      HD       0       1       1      28      63      51       3       9       0
      HD       0       1       1      29      64      82       5       9       0
      HD       0       1       1      30      65      66       4       9       0
      HD       0       1       1      31      66      52       3      10       0
      HD       0       1       1      32      67      53       3      11       0
      HD       0       1       1      33      68      83       5      10       0
      HD       0       1       1      34      69      68       4      11       0
      HD       0       1       1      35      70      67       4      10       0
      HD       0       1       1      36      71      84       5      11       0
      HD       0       2       0       0       0     391      20      13       0
      HD       0       2       0       1       1     390      20      12       0
      HD       0       2       0       2       2     354      18      11       0
      HD       0       2       0       3       3     372      19      12       0
      HD       0       2       0       4       4     353      18      10       0
      HD       0       2       0       5       5     370      19      10       0
      HD       0       2       0       6       6     352      18       9       0
      HD       0       2       0       7       7     389      20      11       0
      HD       0       2       0       8       8     371      19      11       0
      HD       0       2       0       9       9     350      18       7       0
      HD       0       2       0      10      10     369      19       9       0
      HD       0       2       0      11      11     351      18       8       0
      HD       0       2       0      12      12     349      18       6       0
      HD       0       2       0      13      13     386      20       9       0
      HD       0       2       0      14      14     387      20      10       0
      HD       0       2       0      15      15     368      19       8       0
      HD       0       2       0      16      16     367      19       7       0
      HD       0       2       0      17      17     385      20       8       0
      HD       0       2       0      18  CALIB0     388      20      10       1
      HD       0       2       0      19      18     402      21       9       0
      HD       0       2       0      20      19     432      23      11       0
      HD       0       2       0      21      20     418      22      10       0
      HD       0       2       0      22      21     403      21      10       0
      HD       0       2       0      23      22     419      22      11       0
      HD       0       2       0      24      23     420      22      12       0
      HD       0       2       0      25      24     433      23      12       0
      HD       0       2       0      26      25     404      21      11       0
      HD       0       2       0      27      26     434      23      13       0
      HD       0       2       0      28      27     437      23      16       0
      HD       0       2       0      29      28     406      21      13       0
      HD       0       2       0      30      29     405      21      12       0
      HD       0       2       0      31      30     421      22      13       0
      HD       0       2       0      32      31     407      21      14       0
      HD       0       2       0      33      32     422      22      14       0
      HD       0       2       0      34      33     423      22      15       0
      HD       0       2       0      35      34     435      23      14       0
      HD       0       2       0      36      35     436      23      15       0
      HD       0       2       1       0      36     373      19      13       0
      HD       0       2       1       1      37     356      18      13       0
      HD       0       2       1       2      38     355      18      12       0
      HD       0       2       1       3      39     392      20      14       0
      HD       0       2       1       4      40     374      19      14       0
      HD       0       2       1       5      41     393      20      15       0
      HD       0       2       1       6      42     375      19      15       0
      HD       0       2       1       7      43     394      20      16       0
      HD       0       2       1       8      44     357      18      14       0
      HD       0       2       1       9      45     377      19      17       0
      HD       0       2       1      10      46     358      18      15       0
      HD       0       2       1      11      47     376      19      16       0
      HD       0       2       1      12      48     359      18      16       0
      HD       0       2       1      13      49     395      20      17       0
      HD       0       2       1      14      50     360      18      17       0
      HD       0       2       1      15      51     378      19      18       0
